ID,Task,Feature slice,Owner,Deadline,Meeting checkpoint,Priority,Depends on,Done when,Notes,Status
28,CSV export for directors,Organizer,Dev 3,2026-10-15,Meeting 4,P1,25,Download works,,Todo
29,Resume upload OR URL fields end-to-end (per Sep 24 decision),Applicant,Dev 2,2026-10-15,Meeting 4,P1,"6,18",On form + detail view,,Todo
30,Unify email chrome (footer/from-name) across confirm + decision templates,Organizer,Dev 3,2026-10-15,Meeting 4,P1,"19,27",Pair w/ Dev2; one look,,Todo
31,IDOR/security checks on application writes + organizer status updates,Platform,Jenn,2026-10-15,Meeting 4,P0,"18,26",Own-app only; organizer-only status,,Todo
32,Open/closed flag + deadline copy; block submit when closed,Applicant,Dev 2,2026-10-22,Meeting 5,P0,,Toggle controls form + CTAs,,Todo
33,Required MLH / CoC / liability checkboxes,Applicant,Dev 2,2026-10-22,Meeting 5,P0,17,Cannot submit without,,Todo
34,Rate-limit submits + role-gate regression test,Platform,Jenn,2026-10-22,Meeting 5,P0,"10,18",Abuse path covered,,Todo
35,Director sign-off on email copy (confirm + 3 decisions),Launch,Jenn,2026-10-22,Meeting 5,P0,"19,27",Copy approved,,Todo
36,Privacy one-liner on apply form footer,Applicant,Dev 2,2026-10-22,Meeting 5,P1,,Shown on form,,Todo
37,Organizer: prevent decision email double-send; status transition rules,Organizer,Dev 3,2026-10-22,Meeting 5,P0,"26,27",Safe re-clicks; valid transitions only,,Todo
38,"Dogfood E2E: each submits, each reviews, decisions email",All features,All three,2026-10-22,Meeting 5,P0,"20,26,27",Bugs → feature owner,,Todo
39,Clear P0 bugs on your slice from dogfood,All features,All three,2026-10-29,Meeting 6,P0,38,No open P0 on your feature,,Todo
40,"Applicant polish: mobile, errors, empty states",Applicant,Dev 2,2026-10-29,Meeting 6,P1,"17,20",Phone-ready,,Todo
41,"Organizer polish: mobile, empty/search states",Organizer,Dev 3,2026-10-29,Meeting 6,P1,25,Phone-ready,,Todo
42,"Smoke: ~20 apps, CSV, ~20 decision emails + batching runbook section",Organizer,Dev 3,2026-10-29,Meeting 6,P1,"27,28",Batch plan written,,Todo
43,"2027 public copy (apply.ts, CTAs, FAQ); keep isOpen false",Applicant,Dev 2,2026-10-29,Meeting 6,P1,32,"Copy ready, closed",,Todo
44,Document DB snapshot + CSV backup steps in launch runbook,Organizer,Dev 3,2026-10-29,Meeting 6,P1,28,Backup path clear,,Todo
45,Prod dry run - verify your slice on production URL,All features,All three,2026-11-05,Meeting 7,P0,39,Owner sign-off per slice,,Todo
46,Train directors on organizer queue (30 min),Organizer,Dev 3,2026-11-05,Meeting 7,P0,26,≥2 non-eng can review,,Todo
47,"Write launch runbook (open steps, rollback, on-call)",Launch,Jenn,2026-11-05,Meeting 7,P0,,Includes Nov 16 watch chart,,Todo
48,Wipe test apps; confirm prod DB clean,Platform,Jenn,2026-11-05,Meeting 7,P0,45,Ready for real apps,,Todo
49,Draft announce posts - do not send,Launch,Jenn,2026-11-05,Meeting 7,P1,8,Timed for Nov 16,,Todo
50,Applicant prod checklist: confirm email + status on prod,Applicant,Dev 2,2026-11-05,Meeting 7,P0,45,Signed off,,Todo
51,Feature freeze vote - launch blockers only after this,All features,All three,2026-11-12,Meeting 8,P0,45,Ready to open next week,,Todo
52,"Pre-open infra checklist (Clerk, Resend, DNS, env, backup)",Platform,Jenn,2026-11-12,Meeting 8,P0,47,Checked off in meeting,,Todo
53,Rehearse closed→open toggle; document flip steps,Applicant,Dev 2,2026-11-12,Meeting 8,P0,32,Open procedure known,,Todo
54,Pre-open organizer check: empty queue + decision email OK,Organizer,Dev 3,2026-11-12,Meeting 8,P0,27,Day-one ready,,Todo
55,Optional soft open to officers/friends 24-48h,Launch,Jenn,2026-11-13,Soft open,P1,51,Owners fix issues,,Todo
56,"PUBLIC OPEN: flip isOpen, deploy, announce",Launch,Jenn,2026-11-16,Launch week,P0,"52,53,54",Live week before Thanksgiving,,Todo
57,Launch watch: platform/auth/Resend errors,Platform,Jenn,2026-11-16,Launch week,P0,56,On-call; page owners,,Todo
58,Launch watch: submits + confirmation emails,Applicant,Dev 2,2026-11-16,Launch week,P0,56,First apps + inbox OK,,Todo
59,Launch watch: first 10 apps correct in queue,Organizer,Dev 3,2026-11-17,Launch week,P0,56,No mapping bugs,,Todo
60,Hotfix only through Thanksgiving,All features,All three,2026-11-19,Meeting 9,P0,56,No new features,,Todo
